Año;Codigo Provincia;Codigo Municipio;Municipio;Codigo Comarca;Comarca;codigo producto;grupo de cultivo;cultivo;Superficie Secano que no produce;Superficie Secano en producción;Superficie Regadío que no produce;Superficie Regadío en producción
2013;49;200;SANTA CRISTINA DE LA POLVOROSA;2;BENAVENTE Y LOS VALLES;1200/01;FRUTALES;MANZANO;;;;1
2013;49;200;SANTA CRISTINA DE LA POLVOROSA;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;;;1
2013;49;200;SANTA CRISTINA DE LA POLVOROSA;2;BENAVENTE Y LOS VALLES;1200/19;FRUTALES;NOGAL;;;4;
2013;49;200;SANTA CRISTINA DE LA POLVOROSA;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;1;;
2013;49;200;SANTA CRISTINA DE LA POLVOROSA;2;BENAVENTE Y LOS VALLES;1500/00;VIVEROS;VIVEROS;;;;12
2013;49;201;SANTA CROYA DE TERA;2;BENAVENTE Y LOS VALLES;1200/01;FRUTALES;MANZANO;;;;4
2013;49;201;SANTA CROYA DE TERA;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;;;3
2013;49;201;SANTA CROYA DE TERA;2;BENAVENTE Y LOS VALLES;1200/08-1;FRUTALES;MELOCOTONERO;;;;1
2013;49;201;SANTA CROYA DE TERA;2;BENAVENTE Y LOS VALLES;1200/09;FRUTALES;CIRUELO;;;;1
2013;49;201;SANTA CROYA DE TERA;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;29;;
2013;49;202;SANTA EUFEMIA DEL BARCO;3;ALISTE;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;14;;
2013;49;203;SANTA MARIA DE LA VEGA;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;28;;
2013;49;204;SANTA MARIA DE VALVERDE;2;BENAVENTE Y LOS VALLES;1200/01;FRUTALES;MANZANO;;3;;
2013;49;204;SANTA MARIA DE VALVERDE;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;3;;
2013;49;204;SANTA MARIA DE VALVERDE;2;BENAVENTE Y LOS VALLES;1200/07;FRUTALES;CEREZO Y GUINDO;;4;;
2013;49;204;SANTA MARIA DE VALVERDE;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;41;;
2013;49;205;SANTIBAÑEZ DE TERA;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;1;;
2013;49;205;SANTIBAÑEZ DE TERA;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;102;;
2013;49;206;SANTIBAÑEZ DE VIDRIALES;2;BENAVENTE Y LOS VALLES;1200/01;FRUTALES;MANZANO;;4;;1
2013;49;206;SANTIBAÑEZ DE VIDRIALES;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;3;;1
2013;49;206;SANTIBAÑEZ DE VIDRIALES;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;230;;
2013;49;207;SANTOVENIA;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;5;;
2013;49;208;SAN VICENTE DE LA CABEZA;3;ALISTE;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;50;;
2013;49;210;SANZOLES;6;DUERO BAJO;1200/01;FRUTALES;MANZANO;;;;1
2013;49;210;SANZOLES;6;DUERO BAJO;1200/09;FRUTALES;CIRUELO;;1;;
2013;49;210;SANZOLES;6;DUERO BAJO;1200/18;FRUTALES;ALMENDRO;;1;;
2013;49;210;SANZOLES;6;DUERO BAJO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;126;;
2013;49;214;TABARA;3;ALISTE;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;37;;
2013;49;219;TORO;6;DUERO BAJO;1200/01;FRUTALES;MANZANO;;2;;26
2013;49;219;TORO;6;DUERO BAJO;1200/02;FRUTALES;PERAL;;5;;36
2013;49;219;TORO;6;DUERO BAJO;1200/03;FRUTALES;MEMBRILLO;;1;;
2013;49;219;TORO;6;DUERO BAJO;1200/07;FRUTALES;CEREZO Y GUINDO;;15;;7
2013;49;219;TORO;6;DUERO BAJO;1200/08-1;FRUTALES;MELOCOTONERO;;7;;10
2013;49;219;TORO;6;DUERO BAJO;1200/09;FRUTALES;CIRUELO;;2;;3
2013;49;219;TORO;6;DUERO BAJO;1200/10;FRUTALES;HIGUERA;;2;;
2013;49;219;TORO;6;DUERO BAJO;1200/18;FRUTALES;ALMENDRO;;33;;5
2013;49;219;TORO;6;DUERO BAJO;1200/19;FRUTALES;NOGAL;;2;;
2013;49;219;TORO;6;DUERO BAJO;1200/22;FRUTALES;PISTACHO;9;9;12;
2013;49;219;TORO;6;DUERO BAJO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;2861;15;
2013;49;219;TORO;6;DUERO BAJO;1400/02;OLIVAR;OLI ACEITUNA ACEITE;2;;27;12
2013;49;219;TORO;6;DUERO BAJO;1500/00;VIVEROS;VIVEROS;;;;5
2013;49;220;TORRE DEL VALLE (LA);2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;17;;
2013;49;221;TORREGAMONES;5;SAYAGO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;40;;
2013;49;222;TORRES DEL CARRIZAL;4;CAMPOS-PAN;1200/01;FRUTALES;MANZANO;;;;2
2013;49;222;TORRES DEL CARRIZAL;4;CAMPOS-PAN;1200/02;FRUTALES;PERAL;;;;1
2013;49;222;TORRES DEL CARRIZAL;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;9;;
2013;49;223;TRABAZOS;3;ALISTE;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;32;;
2013;49;224;TREFACIO;1;SANABRIA;1200/01;FRUTALES;MANZANO;;1;;
2013;49;225;UÑA DE QUINTANA;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;7;;
